Placement Group,Impressions,Clicks,Media Cost,Click Signups,View Signups,Total Registrations,month,category
MSN Behavioral Targeting Boomers_Group,167284,0,109,0,2.4,29,3,Prospecting
MSN Experian Mosaic Targeting_Group,195166.67,1,127.17,0,1.5,38,3,Prospecting
MSN MMN CPA Group,71276599.33,51330,25473.53,102,395.7,4104,3,Prospecting
MSN Run of Social _Group,195207.67,0,127.23,1,12.9,195,3,Prospecting
MSN Search Retargeting_Group,585502,5,381.52,1,1.2,46,3,Prospecting
NBC Targeted Media Added Value_Group,501884,323,0,1,4.8,57,3,Prospecting
NBC Targeted Media WDYTYA 300x250_Group,2526388,3879,27790.43,39,70.2,1121,3,Prospecting
NBC Targeted Media WDYTYA 728x90_Group,2359761,2444,28317.14,15,54.3,793,3,Prospecting
NBC Who Do You Think You Are 300x250 Roadblock,187835,4053,3381.03,47,108.3,4632,3,Prospecting
NBC Who Do You Think You Are 728x90 Roadblock,190981,2575,3055.69,22,0.6,1464,3,Prospecting
NBC Who Do You Think You Are Roadblock Rails_1x1,192711,4539,2783.02,37,2.4,2284,3,Prospecting
Netmining Custom Audience Targeting_Group,5915650,3107,17747.64,18,174.6,2311,3,Prospecting
Quantcast ACOM Subscription Model_Group,25957687,22590,77873.57,169,2121.6,15910,3,Prospecting
Tribal Fusion CPA_Group,14857698,15590,70364,83,922.2,9959,3,Prospecting
Turn Predictive Retargeting_Group,8308330,7551,25007.81,26,487.8,9443,3,Prospecting
Invite Retargeting_Group,18244387,30627,15746.48,53,330.9,9220,3,Remarketing
Netmining Retargeting_Group,8174663,6774,36786.34,45,632.4,9240,3,Remarketing
Tribal Fusion CPA Remarketing_Group,10575211,16246,30772,49,390.6,5445,3,Remarketing
Turn Retargeting_Group,16347586,18776,49995.03,160,1873.8,19154,3,Remarketing
Ad.com CPA Network_Group,106244620,42300,204028.5,204,2934.9,39752,4,Prospecting
Admob iPad Banner Sustaining_Group,6692064,12229,4630.1,32,0,64,4,Prospecting
Admob iPad Banners New Device Targeting_Group,0,26,0,16,0,36,4,Prospecting
Admob iPad Text Tile New Device Targeting_Group,2529519,13272,1396.3,13,0,40,4,Prospecting
Admob iPad Text Tile Sustaining_Group,9153694,74595,5555.58,100,0,198,4,Prospecting
Amazon ROS CPC_Group,163467845,21853,40428.05,150,1038.9,8119,4,Prospecting
AOL Email Log-in Page_1300x856,24,0,0,0,0,0,4,Prospecting
cancel_Millennial Tablet RON_728x90,18,0,0,0,0,0,4,Prospecting
EOGN ROS CPM_Group,0,15755,5000,17,0,11378,4,Prospecting
Google A45 Genealogy Interest Targeting_Group,12794799,5138,12633.4,45,436.2,4683,4,Prospecting
Google A45 Public Records Topic Interest Targeting_Group,14843753,7347,16734.33,67,445.8,5422,4,Prospecting
Google Genealogy Topic Targeting_Group,5624273,2742,6196.68,48,251.1,3024,4,Prospecting
Google Keyword Contextual Targeting_Group,17491542,5130,13836.92,27,219,2239,4,Prospecting
Google mGN Keyword Contextual Display Tablet_Group,16424,1,0,0,0,1,4,Prospecting
Google Search Companion Targeting_180x150,1,0,1.4,0,0,0,4,Prospecting
Google Search Companion Targeting_300x600,1,0,1.4,0,0,0,4,Prospecting
Google Search Companion_Beta test,27656554,7167,14643,28,199.2,1231,4,Prospecting
iMedia Age50 Living Channel_Group,58556628,59639,99546.41,404,1687.8,14498,4,Prospecting
Invite Prospect Age Targeting_Group,60137411,51355,15427.7,57,170.7,1526,4,Prospecting
Millennial Demo Targeting Tablet A45+_Group,0,367,0,0,0,0,4,Prospecting
Millennial Tablet MobiBlock_Group,2504599,24559,12523.14,21,0,47,4,Prospecting
Millennial Tablet RON_Group,11104917,90210,18042,41,0,85,4,Prospecting
Mobclix Android RON_Group,649503,6829,1707.25,1,0,9,4,Prospecting
Mobclix iPad RON_Group,1525859,67147,16786.75,43,0,89,4,Prospecting
MSN MMN CPA Group,101564483,62984,31574.1,122,497.1,7020,4,Prospecting
