Placement Group,Impressions,Clicks,Media Cost,Click Signups,View Signups,Total Registrations,month,category
Y! ROS_BT: Genealogy,1939331,2535,6049.85,5,58.86,63.86,8,Prospecting
Y! ROS_BT: Genealogy_Geo: CA,853271,789,2494.31,0,0,0,8,Prospecting
Y! ROS_BT: Seniors,75586,98,220.68,37,237.96,274.96,8,Prospecting
Y! ROS_Content Target: Genealogy,905488,2304,3853.87,0,0,0,8,Prospecting
Y! ROS_Content Target: History,77273,67,220.94,0,1.5,1.5,8,Prospecting
Y! ROS_Mail Domain Targeting Prospects,1304545,1525,3543.88,0,1.5,1.5,8,Prospecting
Y! Weather ROS_A45+_Geo: CA,30616,69,71.89,0,0.6,0.6,8,Prospecting
Invite Retargeting_Group,119,0,0,0,0,0,8,Remarketing
Netmining Retargeting_Booker_Group,6702206,4413,15260.5,0,0.9,0.9,8,Remarketing
Netmining Retargeting_Browser_Group,883532,618,1843.6,10,30.9,40.9,8,Remarketing
Netmining Retargeting_Interested_Group,3583501,1841,7713,11,82.2,93.2,8,Remarketing
Tribal Fusion CPA Remarketing_Group,388,0,0,0,1.5,1.5,8,Remarketing
Tribal Fusion CPA Retargeting_Booker_Group,1583361,1413,3001,12,76.2,88.2,8,Remarketing
Tribal Fusion CPA Retargeting_Browser_Group,475947,457,1051,4,5.1,9.1,8,Remarketing
Tribal Fusion CPA Retargeting_Interested_Group,1108863,1046,2159,0,0.9,0.9,8,Remarketing
Turn Retargeting_Booker_Group,6882597,6131,30107.09,32,290.7,322.7,8,Remarketing
Turn Retargeting_Browser_Group,1585380,1301,4419.21,1,1.2,2.2,8,Remarketing
Turn Retargeting_Group,128,0,0,10,27.3,37.3,8,Remarketing
Turn Retargeting_Interested_Group,4572140,4317,15653.05,0,0.3,0.3,8,Remarketing
